EEC_MEASURE;SEX;AGE;EMPFORM;EMPSTA;PCS;EDUC;IMMI;WKTIME;ACTIVITY;UNDEREMP;UNEMPDUR;COMPOHALO;ANCSORFI2;UNIT_MULT;OBS_STATUS;CONF_STATUS;FREQ;DECIMALS;TIME_PERIOD;OBS_VALUE
EMP;_T;Y15T24;_T;1;55;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;351.5
EMP;_T;Y35T39;_T;1;65;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;64.2
PT_UNEMPDUR_VLT_IN_UNEMP_BY_AGE;M;Y_GE65;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;-2;A;F;A;;2023;31
EMP;F;Y35T39;_T;1;23;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;7.5
EMP;F;Y50T64;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;100.2
EMP;F;Y25T49;_T;1;10;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;49.4
EMP;M;Y50T64;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;314.1
EMP;F;Y15T19;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.1
EMP;F;Y15T19;_T;1;35;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.5
EMP;F;Y45T49;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;80.7
EMP;F;Y50T64;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;314.5
EMP;F;Y60T64;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;145.4
EMP;F;Y35T39;_T;1;64;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4.2
EMP;_T;Y15T19;_T;1;2_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0
EMP;F;Y15T24;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;109.1
EMP;_T;Y50T64;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;291.7
EMP;F;Y_GE15;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;295.7
EMP;_T;Y15T24;_T;1;2_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.4
EMP;F;Y20T24;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;11.5
EMP;_T;Y25T49;_T;1;31;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;349.1
EMP;F;Y60T64;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;40.4
EMP;F;Y_GE65;_T;1;67;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.7
EMP;F;Y45T49;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;649.2
EMP;_T;Y30T34;_T;1;21;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;102.4
EMP;F;Y55T59;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;32.1
EMP;_T;Y30T34;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;39.3
EMP;_T;Y55T59;_T;1;31;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;57.5
PT_UNEMPDUR_VLT_IN_UNEMP_BY_AGE;F;Y_GE65;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;-2;A;F;A;;2023;29.2
EMP;_T;Y30T34;_T;1;38;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;287.4
EMP;_T;Y30T34;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.9
EMP;_T;Y50T54;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;890.5
EMP;_T;Y50T64;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;514.2
PT_UNEMPDUR_VLT_IN_UNEMP_BY_AGE;_T;Y50T64;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;-2;A;F;A;;2023;23.9
EMP;_T;Y35T39;_T;1;69;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;22.1
EMP;_T;Y25T49;_T;1;38;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1340.6
EMP;_T;Y60T64;_T;1;35;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;25.9
EMP;_T;Y25T49;_T;1;65;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;252.3
PT_AGE_IN_EMP_BY_PCS;F;Y20T24;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.1
PT_AGE_IN_EMP_BY_PCS;F;Y15T19;_T;1;34;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.1
PT_AGE_IN_EMP_BY_PCS;F;Y40T44;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;8.4
PT_AGE_IN_EMP_BY_PCS;F;Y45T49;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10.6
PT_AGE_IN_EMP_BY_PCS;F;Y25T49;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;36.5
PT_AGE_IN_EMP_BY_PCS;F;Y40T44;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;6.5
PT_AGE_IN_EMP_BY_PCS;F;Y50T64;_T;1;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;F;Y60T64;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.9
PT_AGE_IN_EMP_BY_PCS;F;Y20T24;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;2.6
PT_AGE_IN_EMP_BY_PCS;F;Y20T24;_T;1;54;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;8.3
UNEMPRATE;F;Y70T74;_T;2;_T;_T;22;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.5
UNEMP;_T;Y50T64;_T;2;_T;_T;21;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;38.7
UNEMP;F;Y65T69;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.8
UNEMPRATE;F;Y65T69;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.5
UNEMPB_T;_T;Y45T49;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;178.3
UNEMP;_T;Y15T24;_T;2;_T;_T;22;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;445.6
UNEMPB;F;Y35T39;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;3;A;F;A;;2023;9.8
UNEMPRATE;M;Y30T34;_T;2;_T;_T;22;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;6.3
UNEMPRATE;F;Y55T59;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.5
UNEMP;_T;Y25T29;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;42.7
UNEMPRATE;F;Y70T74;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.9
EMP;_T;Y35T39;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;51
EMP;_T;Y40T44;_T;1;52;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;264
EMP;_T;Y40T44;_T;1;68;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;71
EMP;_T;Y25T49;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;759.6
EMP;_T;Y_GE65;_T;1;6_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0
EMP;_T;Y25T29;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;42.3
EMP;_T;Y30T34;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;11.2
PT_UNEMPDUR_VLT_IN_UNEMP_BY_AGE;F;Y45T49;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;-2;A;F;A;;2023;15
EMP;_T;Y15T19;_T;1;55;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;107.4
EMP;_T;Y15T19;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;13.6
EMP;_T;Y60T64;_T;1;4_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0
EMP;F;Y55T59;_T;1;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1683.6
EMP;_T;Y25T29;_T;1;34;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;106.5
EMP;F;Y20T24;_T;1;6_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.5
EMP;F;Y50T64;_T;1;68;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;140.7
EMP;_T;Y15T19;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;2.1
EMP;F;Y35T39;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;19.2
EMP;_T;Y15T19;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4.5
EMP;F;Y35T39;_T;1;65;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;12
EMP;_T;Y_GE65;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;100.7
EMP;_T;Y15T19;_T;1;34;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.1
EMP;F;Y35T39;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;153.6
UNEMP;F;Y_GE15;_T;2;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;7
UNEMPRATE;F;Y35T39;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5.7
UNEMP;M;Y15T24;_T;2;_T;4T5;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;26.7
UNEMPRATE;M;Y_GE15;_T;2;30;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.7
UNEMPRATE;F;Y_GE15;_T;2;63;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.2
UNEMPRATE;_T;Y_GE15;_T;2;35;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10.5
UNEMP;_T;Y_GE15;_T;2;_T;0T2;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;537
UNEMP;_T;Y_GE15;_T;2;_T;3A;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;445.8
UNEMPRATE;_T;Y_GE15;_T;2;34;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.8
UNEMPRATE;F;Y55T59;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5
UNEMP;F;Y_GE15;_T;2;_T;3_X_353;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;300.4
PT_AGE_IN_EMP_BY_PCS;_T;Y60T64;_T;1;69;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;6.1
EMP;M;Y40T44;_T;1;52;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;47.7
EMP;M;Y50T54;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;33.4
EMP;M;Y40T44;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;181.4
EMP;M;Y_GE65;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;22.2
EMP;M;Y40T44;_T;1;4_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.5
EMP;M;Y_GE65;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;7.7
PT_AGE_IN_EMP_BY_PCS;_T;Y60T64;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.3
EMP;M;Y55T59;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;37
EMP;M;Y50T64;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;883.8
EMP;M;Y45T49;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;84.8
PT_AGE_IN_EMP_BY_PCS;_T;Y_GE15;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;100
PT_AGE_IN_EMP_BY_PCS;_T;Y25T49;_T;1;52;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;53.1
PT_AGE_IN_EMP_BY_PCS;_T;Y25T29;_T;1;34;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10.9
PT_AGE_IN_EMP_BY_PCS;_T;Y35T39;_T;1;43;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;14
PT_AGE_IN_EMP_BY_PCS;_T;Y25T49;_T;1;55;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;48.2
PT_AGE_IN_EMP_BY_PCS;_T;Y15T19;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5.6
PT_AGE_IN_EMP_BY_PCS;_T;Y50T54;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.1
PT_AGE_IN_EMP_BY_PCS;_T;Y15T24;_T;1;31;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.1
PT_AGE_IN_EMP_BY_PCS;_T;Y50T54;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;13.8
PT_AGE_IN_EMP_BY_PCS;_T;Y25T49;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;63.5
EMP;F;Y_GE65;_T;1;3_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0
EMP;M;Y35T39;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4.7
EMP;M;Y30T34;_T;1;69;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;19.6
EMP;M;Y30T34;_T;1;64;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;52
EMP;F;Y55T59;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;36.6
EMP;F;Y35T39;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;147
EMP;M;Y15T19;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;213
EMP;M;Y35T39;_T;1;67;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;47.3
EMP;M;Y_GE15;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;73.3
EMP;F;Y20T24;_T;1;43;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;121.4
EMP;F;Y50T64;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;207
UNEMPRATE;_T;Y_GE65;_T;2;_T;3_X_353;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.3
UNEMPRATE;M;Y_GE15;_T;2;37;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4
UNEMP;F;Y_GE15;_T;2;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;141.2
UNEMP;_T;Y_GE15;_T;2;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.6
UNEMP;M;Y_GE15;_T;2;_T;3_X_353;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;284.7
UNEMPRATE;F;Y_GE15;_T;2;67;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;16.5
UNEMP;M;Y_GE15;_T;2;23;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.8
UNEMP;_T;Y15T24;_T;2;_T;3_X_353;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;238.6
UNEMPRATE;F;Y25T49;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;6.8
UNEMP;M;Y_GE15;_T;2;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;135.2
UNEMPRATE;F;Y_GE15;_T;2;64;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5.8
EMP;M;Y25T49;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;710
EMP;M;Y40T44;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;43.2
EMP;M;Y45T49;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;57.9
EMP;M;Y50T54;_T;1;34;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;65.6
EMP;M;Y60T64;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;132.4
EMP;M;Y25T29;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;60.6
EMP;M;Y20T24;_T;1;43;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;27
EMP;M;Y50T54;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;146.9
EMP;M;Y40T44;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;45
EMP;M;Y40T44;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;428.5
EMP;M;Y25T49;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;224.4
UNEMPRATE;M;Y20T24;_T;2;_T;_T;21;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;20.8
UNEMP;F;Y35T39;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;22.9
PT_UNEMPDUR_LT_IN_UNEMP_BY_AGE;M;Y25T29;_T;2;_T;_T;_T;_T;_T;_T;LT;_T;_T;-2;A;F;A;;2023;19.6
UNEMPRATE;F;Y25T49;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;12
UNEMP;M;Y55T59;_T;2;_T;_T;21;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;8.6
UNEMPB;F;Y40T44;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;3;A;F;A;;2023;14
UNEMPRATE;F;Y40T44;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;13.5
UNEMP;M;Y60T64;_T;2;_T;_T;21;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;2.4
UNEMPRATE;F;Y15T24;_T;2;_T;_T;21;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;18.1
UNEMPRATE;M;Y40T44;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;9.6
UNEMPRATE;F;Y15T24;_T;2;_T;_T;22;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;15.7
PT_AGE_IN_EMP_BY_PCS;F;Y55T59;_T;1;31;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.6
PT_AGE_IN_EMP_BY_PCS;F;Y40T44;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;8.4
PT_AGE_IN_EMP_BY_PCS;F;Y20T24;_T;1;64;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.2
PT_AGE_IN_EMP_BY_PCS;F;Y40T44;_T;1;38;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.2
PT_AGE_IN_EMP_BY_PCS;F;Y60T64;_T;1;68;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.7
PT_AGE_IN_EMP_BY_PCS;F;Y50T64;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;20.1
PT_AGE_IN_EMP_BY_PCS;F;Y_GE15;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;64.6
PT_AGE_IN_EMP_BY_PCS;F;Y25T49;_T;1;55;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;31.2
PT_AGE_IN_EMP_BY_PCS;F;Y15T19;_T;1;4_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;F;Y50T54;_T;1;69;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.2
EMP;_T;Y_GE65;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;73.8
EMP;_T;Y30T34;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;565.7
